Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-07-13,2016,7,13,Wednesday,28,2016-28,735.52,735.52,729.02,729.48,1021800,729.48,-0.004136502240897011,707.8235714285713,722.2384
2016-07-14,2016,7,14,Thursday,28,2016-28,733.94,736.14,730.59,735.8,1070400,735.8,0.00866371592563464,709.3185714285715,722.7855999999999
2016-07-15,2016,7,15,Friday,28,2016-28,741.0,741.0,734.64,735.63,1617100,735.63,-0.00023101782138668092,712.9207142857142,723.2708
2016-07-18,2016,7,18,Monday,29,2016-29,737.91,755.14,736.51,753.2,1934900,753.2,0.023884299454340008,718.0678571428572,724.0405999999999
2016-07-19,2016,7,19,Tuesday,29,2016-29,749.87,756.59,748.49,753.41,1521800,753.41,0.0002787585423489336,722.5071428571429,724.6052000000001
2016-07-20,2016,7,20,Wednesday,29,2016-29,754.05,760.64,754.05,757.08,1125100,757.08,0.004871244177980127,726.9278571428571,725.1641999999999
2016-07-21,2016,7,21,Thursday,29,2016-29,757.0,758.15,751.52,754.41,953100,754.41,-0.003526765843821833,730.5621428571428,725.4648
2016-07-22,2016,7,22,Friday,29,2016-29,757.32,759.45,752.66,759.28,1046000,759.28,0.0064554503860074774,734.0642857142857,726.0393999999999
2016-07-25,2016,7,25,Monday,30,2016-30,757.68,759.82,754.07,757.52,1073300,757.52,-0.002317998232160612,737.8235714285713,726.6283999999999
2016-07-26,2016,7,26,Tuesday,30,2016-30,757.52,759.26,752.75,757.65,1189600,757.65,0.00017161907205154314,741.3007142857143,727.2848000000001
2016-07-27,2016,7,27,Wednesday,30,2016-30,758.97,764.45,755.93,761.97,1608600,761.97,0.005701770144339813,745.2085714285714,727.9182000000001
2016-07-28,2016,7,28,Thursday,30,2016-30,768.84,768.97,759.09,765.84,3673200,765.84,0.005079014004675919,748.6414285714285,728.8312
2016-07-29,2016,7,29,Friday,30,2016-30,797.71,803.94,790.0,791.34,5090500,791.34,0.03329677100412565,753.2228571428572,730.2223999999999
2016-08-01,2016,8,1,Monday,31,2016-31,786.67,807.49,785.04,800.94,3029700,800.94,0.01213129029259985,758.1107142857144,731.935
2016-08-02,2016,8,2,Tuesday,31,2016-31,797.33,802.32,794.53,800.12,1996400,800.12,-0.0010238061798876208,763.1564285714286,733.5032000000001
2016-08-03,2016,8,3,Wednesday,31,2016-31,796.47,799.54,793.02,798.92,1460300,798.92,-0.0014997902993981738,767.665,735.1366
2016-08-04,2016,8,4,Thursday,31,2016-31,798.24,800.2,793.92,797.25,1076000,797.25,-0.002090300588142968,772.0664285714286,736.421
2016-08-05,2016,8,5,Friday,31,2016-31,800.11,807.22,797.81,806.93,1807300,806.93,0.012141728034846366,775.9042857142857,737.7976
2016-08-08,2016,8,8,Monday,32,2016-32,806.0,807.6,801.69,805.23,1221300,805.23,-0.0021067654226037957,779.6057142857143,739.1636
2016-08-09,2016,8,9,Tuesday,32,2016-32,804.49,813.33,804.06,807.48,1607700,807.48,0.002794232771474947,783.2057142857142,740.3611999999999
2016-08-10,2016,8,10,Wednesday,32,2016-32,807.05,810.88,806.49,808.49,918500,808.49,0.001250817097705248,787.0685714285715,741.554
2016-08-11,2016,8,11,Thursday,32,2016-32,810.47,813.88,806.0,808.2,1282300,808.2,-0.0003586661935786051,790.5628571428571,742.7488000000001
2016-08-12,2016,8,12,Friday,32,2016-32,805.09,807.19,803.64,807.05,897300,807.05,-0.0014229453064743547,794.1007142857144,744.0043999999999
